Warning ID,Antibiotic ID,Headline,Warning Type,Warning Description,Reference ID
W084,A014,Use in Lactation,Pregnancy & Lactation,It is not known whether Clarithromycin is excreted in breast milk.,R014
W085,A014,Use in Lactation,Pregnancy & Lactation,Exercise caution when administering to a nursing woman.,R014
W086,A015,Use in Pregnancy,Pregnancy & Lactation,"The safety of clarithromycin for use during pregnancy has not been established. Based on variable results obtained from studies in mice, rats, rabbits and monkeys, the possibility of adverse effects on embryo-foetal development cannot be excluded. Therefore, use during pregnancy is not advised without carefully weighing the benefits against risk.",R015
W087,A015,Breastfeeding,Pregnancy & Lactation,The safety of clarithromycin for using during breast-feeding of infants has not been established. Clarithromycin is excreted into human breast milk.,R015
W088,A015,Gastro-intestinal Symptoms from Overdose,Overdosage,Reports indicate that the ingestion of large amounts of clarithromycin can be expected to produce gastro-intestinal symptoms.,R015
W089,A015,CNS and Metabolic Effects from Overdose,Overdosage,"One patient who had a history of bipolar disorder ingested 8 grams of clarithromycin and showed altered mental status, paranoid behaviour, hypokalemia and hypoxemia.",R015
W090,A015,Management Overdose,Overdosage,Adverse reactions accompanying overdose should be treated by the prompt elimination of unabsorbed drug and supportive measures.,R015
W091,A015,Dialysis Effect on Clarithromycin Levels,Overdosage,"As with other macrolides, Clarithromycin serum levels are not expected to be appreciably affected by haemodialysis or peritoneal dialysis.",R015
W092,A015,Hypersensitivity to Macrolides,Contraindication,Hypersensitivity to macrolide antibiotic drugs or to any of its excipients.,R015
W093,A015,Ergot Alkaloid Interaction,Contraindication,"Concomitant administration of clarithromycin and ergot alkaloids (e.g. ergotamine or dihydroergotamine) is contraindicated, as this may result in ergot toxicity.",R015
W094,A015,Oral Midazolam Interaction,Contraindication,Concomitant administration of clarithromycin and oral midazolam is contraindicated.,R015
W095,A015,QT Prolongation Drug Interaction,Contraindication,"Concomitant administration of clarithromycin and any of the following drugs is contraindicated: astemizole, cisapride, pimozide and terfenadine as this may result in QT prolongation and cardiac arrhythmias, including ventricular tachycardia, ventricular fibrillation, and torsades de pointes.",R015
W096,A015,History of QT Prolongation or Arrhythmia,Contraindication,"Clarithromycin should not be given to patients with history of QT prolongation (congenital or documented acquired QT prolongation) or ventricular cardiac arrhythmia, including torsades de pointes.",R015
W097,A015,Ticagrelor or Ranolazine Interaction,Contraindication,Concomitant administration with ticagrelor or ranolazine is contraindicated.,R015
W098,A016,GI Symptoms in Overdosage,Overdosage,"Clinical features of clarithromycin overdosage may include GI symptoms such as abdominal pain, nausea, vomiting, and diarrhea.",R016
W099,A016,CNS and Metabolic Effects from Overdose,Overdosage,"One patient who had a history of bipolar disorder ingested 8 g of clarithromycin and showed altered mental status, paranoid behavior, hypokalemia and hypoxemia.",R016
W100,A016,Management of Overdosage,Overdosage,Adverse reactions accompanying overdosage should be treated promptly by elimination of unabsorbed drug and supportive measures.,R016
W101,A016,Dialysis Effect on Drug Levels,Overdosage,"As with other macrolides, clarithromycin serum concentrations are not expected to be appreciably removed by hemodialysis or peritoneal dialysis.",R016
W102,A016,Hypersensitivity to Macrolides,Contraindication,"Known hypersensitivity to clarithromycin, erythromycin or any macrolide antibiotic, or to any component of the product.",R016
W103,A016,History of Hepatic Dysfunction,Contraindication,Patients with a history of cholestatic jaundice/hepatic dysfunction associated with prior use of clarithromycin.,R016
W104,A016,QT Prolongation or Arrhythmia History,Contraindication,"Patients with a history of QT prolongation or ventricular cardiac arrythmia, including torsades de pointes.",R016
W105,A016,QT-Prolonging Drug Interactions,Contraindication,"Concomitant administration with cisapride, pimozide, astemizaole, terfenadine, and ergotamine or dihydroergotamine which may result in cardiac arrhythmias (QT prolongation, ventricular tachycardia, ventricular fibrillation, and torsades de pointes) leading to death.",R016
W106,A016,Statin Interaction,Contraindication,Concomitant administration with simvastatin or lovastatin.,R016
W107,A016,Ticagrelor or Ranolazine Interaction,Contraindication,Concomitant administration with ticagrelor or ranolazine.,R016
W108,A016,Colchicine Interaction in Renal/Heaptic Impairment,Contraindication,Concomitant administration of clarithromycin and colchicine in patients with renal or hepatic impairment.,R016
W109,A016,Severe Renal Impairment (ER Tablet),Contraindication,Clarithromycin ER tablet is contraindicated in patients with creatinine clearance <30 mL/min.,R016
W110,A016,Hypersensitivity (Suspension),Contraindication,"Clarithromycin is contraindicated in patients with a known hypersensitivity to Clarithromycin, Erythromycin or any of the macrolide antibiotics.",R016
W111,A016,Contraindicated Drug Interactions (Suspension),Contraindication,"Concomitant administration of Clarithromycin with Cisapride, Pimozide, Astemizole or Terfenadine is contraindicated.",R016
W112,A016,Pregnancy Risk,Pregnancy & Lactation,There are no adequate and well-controlled studies in pregnant women.,R016
W113,A016,Risk-benefit in Pregnancy,Pregnancy & Lactation,"The benefits against risk, particularly during the first trimester of pregnancy should be carefully weighed by a physician.",R016
W114,A016,Animal Study Findings (Cleft Palate),Pregnancy & Lactation,Four studies in mice revealed a variable incidence of cleft palate after oral doses of 1000 mg/kg/day during gestation days 6 to 15.,R016
